2	12:00 AM - 12:25 AM	Robot Chicken	Loiter Squad	Robot Chicken	Loiter Squad	Robot Chicken	Robot Chicken	Your Pretty Face is Going to Hell
3	12:25 AM - 12:50 AM	Bobobo-bo Bo-bobo	Gintama	Bobobo-bo Bo-bobo	Gintama	Bobobo-bo Bo-bobo	Hunter X Hunter (Run B)	Hunter X Hunter (Run B)
4	12:50 AM - 1:15 AM	Samurai Jack	Trigun	Samurai Jack	Trigun	Samurai Jack	Hunter X Hunter (Run B)	Hunter X Hunter (Run B)
5	1:15 AM - 1:40 AM	YuYu Hakusho	YuYu Hakusho	YuYu Hakusho	YuYu Hakusho	YuYu Hakusho	Hunter X Hunter (Run B)	Dragon Ball Z Kai (Run B)
6	1:40 AM - 2:05 AM	Goosebumps	Goosebumps	Goosebumps	Goosebumps	Goosebumps	Community (Run B)	Dragon Ball Z Kai (Run B)
7	2:05 AM - 2:30 AM	Code Geass	Kill La Kill	Code Geass	Kill La Kill	Code Geass	Community (Run B)	Dragon Ball Z Kai (Run B)
8	2:30 AM - 2:55 AM	Neon Genesis Evangelion 	The Vision of Escaflowne	Neon Genesis Evangelion 	The Vision of Escaflowne	Neon Genesis Evangelion 	Community (Run B)	Dragon Ball Z Kai (Run B)
9	2:55 AM - 3:20 AM	Intial D	Soul Eater	Intial D	Soul Eater	Intial D	Avatar The Last Airbender (Run B)	Dragon Ball Z Kai (Run B)
10	3:20 AM - 3:45 AM	Bleach 	Bleach 	Bleach 	Bleach 	Bleach 	Avatar The Last Airbender (Run B)	Dragon Ball Z Kai (Run B)
11	3:45 AM - 4:10 AM	Hunter x Hunter	Hunter x Hunter	Hunter x Hunter	Hunter x Hunter	Hunter x Hunter	Avatar The Last Airbender (Run B)	Bleach (Run C)
12	4:10 AM - 4:35 AM	Fullmetal Alchemist	Fullmetal Alchemist	Fullmetal Alchemist	Fullmetal Alchemist	Fullmetal Alchemist	Dragon Ball (OG) (Run B)	Bleach (Run C)
13	4:35 AM - 5:00 AM	Blood+	Parasyte -The Maxim-	Blood+	Parasyte -The Maxim-	Blood+	Dragon Ball (OG) (Run B)	Bleach (Run C)
14	5:00 AM - 5:25 AM	Gundam SEED / Destiny	Gundam Wing	Gundam SEED / Destiny	Gundam Wing	Gundam SEED / Destiny	Dragon Ball (OG) (Run B)	Bleach (Run C)
15	5:25 AM - 5:50 AM	Guren Lagaan	Eureka Seven	Guren Lagaan	Eureka Seven	Guren Lagaan	Dragon Ball (OG) (Run B)	Bleach (Run C)
16	5:50 AM - 6:15 AM	Zoids Chaotic Century	Zoids New Century 	Zoids Chaotic Century	Zoids New Century 	Zoids Chaotic Century	Naruto Shippuden (Run B)	Naruto Shippuden (Run B)
17	6:15 AM - 6:40 AM	Dragon Ball Z Kai	Dragon Ball (OG)	Dragon Ball Z Kai	Dragon Ball (OG)	Dragon Ball Z Kai	Naruto Shippuden (Run B)	Naruto Shippuden (Run B)
