6:00 AM	Captian Planet	The Adams Family	Captian Planet	The Adams Family	Captian Planet	Captian Planet	Captian Planet
6:30 AM	The Smurfs	The Smurfs	The Smurfs	Tom And Jerry	The Smurfs	The Smurfs	The Smurfs
7:00 AM	Fantastic Four (1967)	Tom and Jerry	Fantastic Four (1967)	Tom And Jerry	Fantastic Four (1967)	Fantastic Four (1967)	Fantastic Four (1967)
7:30 AM	Pound Puppies	Pound Puppies	A Pup Named Scooby-Doo!	Popeye	Pound Puppies	Pound Puppies	Pound Puppies
8:00 AM	Popeye	Popeye	Popeye	Popeye	Popeye	Popeye	Popeye
8:30 AM	Dexters Lab	The Jetsons	Dexters Lab	I Am Weasel	Dexters Lab	Dexters Lab	Dexters Lab
9:00 AM	Megas XLR	Sealab 2020	Megas XLR	Sealab 2020	Megas XLR	Megas XLR	Megas XLR
9:30 AM	Ed Edd n' Eddy	Johnny Quest	Ed Edd n' Eddy	Fantastic Four (1967)	Ed Edd n' Eddy	Ed Edd n' Eddy	Ed Edd n' Eddy
10:00 AM	Courage the Cowardly Dog	Courage the Cowardly Dog	Courage the Cowardly Dog	The Jetsons	Courage the Cowardly Dog	Courage the Cowardly Dog	Courage the Cowardly Dog
10:30 AM	Static Shock	I Am Weasel	Static Shock	The Powerpuff Girls	Static Shock	Static Shock	Static Shock
11:00 AM	Hi Hi Puffy Ami-Yumi Show	Jabberjaw	Hi Hi Puffy Ami-Yumi Show	Men In Black : The Series	Hi Hi Puffy Ami-Yumi Show	Hi Hi Puffy Ami-Yumi Show	Hi Hi Puffy Ami-Yumi Show
11:30 PM	Jackie Chan Adventures	Jackie Chan Adventures	Jackie Chan Adventures	Courage the Cowardly Dog	Jackie Chan Adventures	Jackie Chan Adventures	Jackie Chan Adventures
12:00 PM	Time Squad	The Grim Adventures of Billy and Mandy	Time Squad	Johnny Bravo	Time Squad	Time Squad	Time Squad
12:30 PM	Johnny Bravo	Men in Black TAS	Johnny Bravo	Ed Edd n' Eddy	Johnny Bravo	Johnny Bravo	Johnny Bravo
1:00 PM	Foster's Home for Imaginary Friends	The Powerpuff Girls	Foster's Home for Imaginary Friends	The Marvelous Misadventures of Flapjack	Foster's Home for Imaginary Friends	Foster's Home for Imaginary Friends	Foster's Home for Imaginary Friends
1:30 PM	Chowder	Chowder	Chowder	I Am Weasel	Chowder	Chowder	Chowder
2:00 PM	Samurai Jack	Samurai Jack	Samurai Jack	Chowder	Samurai Jack	Samurai Jack	Samurai Jack
2:30 PM	Xiaolin Showdown	Land Before Time TAS	Xiaolin Showdown	ReBooT	Xiaolin Showdown	Xiaolin Showdown	Xiaolin Showdown
3:00 PM	What's New Scooby-Doo	Scooby-Doo (1969)	What's New Scooby-Doo	Dexter's Lab	What's New Scooby-Doo	What's New Scooby-Doo	What's New Scooby-Doo
3:30 PM	Code Lyoko	Medabots	Code Lyoko	Pound Puppies (1986)	Code Lyoko	Code Lyoko	Code Lyoko
4:00 PM	Codename KND	Codename KND	Codename KND	Scooby Doo (1969)	Codename KND	Codename KND	Codename KND
4:30 PM	Totally Spies	ReBoot	Totally Spies	Scooby Doo (1969)	Totally Spies	Totally Spies	Totally Spies
5:00 PM	Whatever Happened To Robot Jones	Whatever Happened To Robot Jones	Whatever Happened To Robot Jones	What's New Scooby Doo	Whatever Happened To Robot Jones	Whatever Happened To Robot Jones	Whatever Happened To Robot Jones
5:30 PM	SGC2C	SGC2C	SGC2C	SGC2C	SGC2C	SGC2C	SGC2C
5:30 PM	Futurama	Futurama	Futurama	Futurama	Futurama	Futurama	Futurama
6:00 PM	King of The Hill	King of The Hill	King of The Hill	King of The Hill	King of The Hill	King of The Hill	King of The Hill
6:30 PM	Family Guy	Family Guy	Family Guy	Family Guy	Family Guy	Family Guy	Family Guy
7:30 PM	ATHF	ATHF	ATHF	ATHF	ATHF	ATHF	ATHF
7:30 PM	Assy McGee	American Dad	American Dad	American Dad	Cowboy Bebop	Cowboy Bebop	Inuyasha
8:00 PM	American Dad	Assy McGee	God, The Devil And Bob	Assy McGee	Gigantor	Big O	Gigantor
8:30 PM	The Brack Show	Xavier Renegade Angel	Xavier Renegade Angel	Xavier Renegade Angel	Dragon Ball	Samurai Champloo	Dragon Ball
